中心性,排名,小组偏爱演员,官方偏爱演员
Degree,1,徐敏,丁勇岱
Degree,2,马吟吟,王伍福
Degree,3,房子斌,唐国强
Degree,4,李宏磊,马晓伟
Degree,5,蒋志光,刘之冰
Degree,6,马国明,孙维民
Degree,7,张陆,谢钢
Degree,8,毛晓彤,刘奕君
Degree,9,金世佳,卢奇
Degree,10,陈牧扬,岳红
Degree,11,张圣岳,王宏
Degree,12,韩姝妹,王永泉
Degree,13,魏惠文,许文广
Degree,14,刘钧,徐永革
Degree,15,邵卓尧,侯祥玲
Degree,16,李斌,张喜前
Degree,17,黄毅,夏天
Degree,18,谢承颖,张龄心
Degree,19,岳旸,郭连文
Degree,20,佘诗曼,魏伟
Degree,21,刘琳,刘敏涛
Degree,22,国歌,靳东
Degree,23,王红梅,张页石
Degree,24,朱剑峰,冯晖
Degree,25,刘美彤,柯蓝
Degree,26,刘桂芳,张嘉益
Degree,27,刘天龙,高鑫
Degree,28,韦家雄,王凯
Degree,29,朱泳腾,苏丽
Degree,30,张柏嘉,丁海峰
Betweenness,1,佘诗曼,丁勇岱
Betweenness,2,苗侨伟,谢钢
Betweenness,3,王健,蒋雯丽
Betweenness,4,刘松仁,萨日娜
Betweenness,5,檀健次,唐国强
Betweenness,6,林夏薇,刘奕君
Betweenness,7,黄智贤,张喜前
Betweenness,8,沈保平,岳红
Betweenness,9,徐敏,张嘉益
Betweenness,10,张晓晨,刘之冰
Betweenness,11,周德华,王劲松
Betweenness,12,蔡少芬,王源
Betweenness,13,侯岩松,王伍福
Betweenness,14,李佳航,焦刚
Betweenness,15,朱泳腾,王奎荣
Betweenness,16,于明加,殷桃
Betweenness,17,胡杏儿,何政军
Betweenness,18,焦晃,濮存昕
Betweenness,19,李泽锋,刘琳
Betweenness,20,高雄,柯蓝
Betweenness,21,米雪,王阳
Betweenness,22,黑子,张凯丽
Betweenness,23,韩晓,巩峥
Betweenness,24,郭珍霓,于和伟
Betweenness,25,陈宇琛,孙俪
Betweenness,26,王星瀚,宋晓英
Betweenness,27,刘钧,刘敏涛
Betweenness,28,刘洁,徐百慧
Betweenness,29,蒋一铭,陈宝国
Betweenness,30,赵燕国彰,马晓伟
Closeness,1,沈保平,丁勇岱
Closeness,2,常铖,刘奕君
Closeness,3,侯岩松,唐国强
Closeness,4,檀健次,王永泉
Closeness,5,刘琳,王伍福
Closeness,6,毛晓彤,丁海峰
Closeness,7,黑子,张嘉益
Closeness,8,李泽锋,谢钢
Closeness,9,李依晓,许文广
Closeness,10,张陆,王宏
Closeness,11,岳旸,张喜前
Closeness,12,袁文康,岳红
Closeness,13,马吟吟,冯雷
Closeness,14,周德华,刘敏涛
Closeness,15,焦刚,张龄心
Closeness,16,朱泳腾,刘之冰
Closeness,17,代文雯,马少骅
Closeness,18,徐敏,马晓伟
Closeness,19,蒋欣,岳旸
Closeness,20,赵柯,张志坚
Closeness,21,刘美彤,柯蓝
Closeness,22,刘钧,王凯
Closeness,23,宁文彤,萨日娜
Closeness,24,佘诗曼,王伯昭
Closeness,25,房子斌,程煜
Closeness,26,陈牧扬,王劲松
Closeness,27,霍建华,冯晖
Closeness,28,冯晖,靳东
Closeness,29,隋雨蒙,任帅
Closeness,30,蒋一铭,魏伟
Eigenvector,1,马吟吟,马晓伟
Eigenvector,2,房子斌,王伍福
Eigenvector,3,徐敏,刘之冰
Eigenvector,4,李宏磊,唐国强
Eigenvector,5,金世佳,孙维民
Eigenvector,6,张圣岳,丁勇岱
Eigenvector,7,韩姝妹,卢奇
Eigenvector,8,李斌,侯祥玲
Eigenvector,9,黄毅,苏丽
Eigenvector,10,张陆,林津锋
Eigenvector,11,林晓凡,赵小川
Eigenvector,12,刘美彤,吕一丁
Eigenvector,13,金丰,徐永革
Eigenvector,14,孙斌,张页石
Eigenvector,15,张磊,郭连文
Eigenvector,16,武笑羽,赵凯
Eigenvector,17,朱刚日尧,岳红
Eigenvector,18,王骁,谢钢
Eigenvector,19,张柏嘉,乌日根
Eigenvector,20,于明加,夏天
Eigenvector,21,王晴,高一玮
Eigenvector,22,傅淼,奚望
Eigenvector,23,李楠,姚扩
Eigenvector,24,檀健次,葛友元
Eigenvector,25,秦海璐,左佰学
Eigenvector,26,章涛,牛志强
Eigenvector,27,朱嘉琦,李思博
Eigenvector,28,陆妍淇,尹键
Eigenvector,29,张籽沐,赵波
Eigenvector,30,冯兵,张哲人
